信号,调制方式,信号带宽,载波频率,信号功率,信噪比,干扰,干扰方式,干扰带宽,干扰频率,干扰功率,误码率
信号1,6,2000,40,17.44108658,5,干扰931,2,0,39.4,17.44108658,0.7
信号1,6,2000,40,17.44108658,5,干扰932,2,0,39.4,16.94108658,0.6301
信号1,6,2000,40,17.44108658,5,干扰933,2,0,39.4,16.44108658,0.5382
信号1,6,2000,40,17.44108658,5,干扰934,2,0,39.4,15.94108658,0.4405
信号1,6,2000,40,17.44108658,5,干扰935,2,0,39.4,15.44108658,0.317
信号1,6,2000,40,17.44108658,5,干扰936,2,0,39.4,14.94108658,0.2027
信号1,6,2000,40,17.44108658,5,干扰937,2,0,39.4,14.44108658,0.1147
信号1,6,2000,40,17.44108658,5,干扰938,2,0,39.4,13.94108658,0.0615
信号1,6,2000,40,17.44108658,5,干扰939,2,0,39.4,13.44108658,0.0288
信号1,6,2000,40,17.44108658,5,干扰940,2,0,39.4,12.94108658,0.0101
信号1,6,2000,40,17.44108658,5,干扰941,2,0,39.4,12.44108658,0.0042
信号1,6,2000,40,17.44108658,5,干扰942,2,0,39.4,11.94108658,0.0006
信号1,6,2000,40,17.44108658,5,干扰943,2,0,39.4,11.44108658,0.0003
信号1,6,2000,40,17.44108658,5,干扰944,2,0,39.4,10.94108658,0.0003
信号1,6,2000,40,17.44108658,5,干扰945,2,0,39.4,10.44108658,0.0002
信号1,6,2000,40,17.44108658,5,干扰946,2,0,39.4,9.941086577,0
信号1,6,2000,40,17.44108658,5,干扰947,2,0,39.4,9.441086577,0
信号1,6,2000,40,17.44108658,5,干扰948,2,0,39.4,8.941086577,0
信号1,6,2000,40,17.44108658,5,干扰949,2,0,39.4,8.441086577,0
信号1,6,2000,40,17.44108658,5,干扰950,2,0,39.4,7.941086577,0
信号1,6,2000,40,17.44108658,5,干扰951,2,0,39.4,7.441086577,0
信号1,6,2000,40,17.44108658,5,干扰952,2,0,39.4,6.941086577,0
信号1,6,2000,40,17.44108658,5,干扰953,2,0,39.4,6.441086577,0
信号1,6,2000,40,17.44108658,5,干扰954,2,0,39.4,5.941086577,0
信号1,6,2000,40,17.44108658,5,干扰955,2,0,39.4,5.441086577,0
信号1,6,2000,40,17.44108658,5,干扰956,2,0,39.4,4.941086577,0
信号1,6,2000,40,17.44108658,5,干扰957,2,0,39.4,4.441086577,0
信号1,6,2000,40,17.44108658,5,干扰958,2,0,39.4,3.941086577,0
信号1,6,2000,40,17.44108658,5,干扰959,2,0,39.4,3.441086577,0
信号1,6,2000,40,17.44108658,5,干扰960,2,0,39.4,2.941086577,0
信号1,6,2000,40,17.44108658,5,干扰961,2,0,39.4,2.441086577,0
信号1,6,2000,40,17.44108658,5,干扰962,2,0,39.48,17.44108658,0.818
信号1,6,2000,40,17.44108658,5,干扰963,2,0,39.48,16.94108658,0.8043
信号1,6,2000,40,17.44108658,5,干扰964,2,0,39.48,16.44108658,0.803
信号1,6,2000,40,17.44108658,5,干扰965,2,0,39.48,15.94108658,0.7933
信号1,6,2000,40,17.44108658,5,干扰966,2,0,39.48,15.44108658,0.781
信号1,6,2000,40,17.44108658,5,干扰967,2,0,39.48,14.94108658,0.7613
信号1,6,2000,40,17.44108658,5,干扰968,2,0,39.48,14.44108658,0.7342
信号1,6,2000,40,17.44108658,5,干扰969,2,0,39.48,13.94108658,0.7067
信号1,6,2000,40,17.44108658,5,干扰970,2,0,39.48,13.44108658,0.6424
信号1,6,2000,40,17.44108658,5,干扰971,2,0,39.48,12.94108658,0.5695
信号1,6,2000,40,17.44108658,5,干扰972,2,0,39.48,12.44108658,0.4778
信号1,6,2000,40,17.44108658,5,干扰973,2,0,39.48,11.94108658,0.3443
信号1,6,2000,40,17.44108658,5,干扰974,2,0,39.48,11.44108658,0.2383
信号1,6,2000,40,17.44108658,5,干扰975,2,0,39.48,10.94108658,0.1519
信号1,6,2000,40,17.44108658,5,干扰976,2,0,39.48,10.44108658,0.0727
信号1,6,2000,40,17.44108658,5,干扰977,2,0,39.48,9.941086577,0.0298
信号1,6,2000,40,17.44108658,5,干扰978,2,0,39.48,9.441086577,0.0137
信号1,6,2000,40,17.44108658,5,干扰979,2,0,39.48,8.941086577,0.0051
信号1,6,2000,40,17.44108658,5,干扰980,2,0,39.48,8.441086577,0.0015
信号1,6,2000,40,17.44108658,5,干扰981,2,0,39.48,7.941086577,0.0002
信号1,6,2000,40,17.44108658,5,干扰982,2,0,39.48,7.441086577,0.0003
信号1,6,2000,40,17.44108658,5,干扰983,2,0,39.48,6.941086577,0.0001
信号1,6,2000,40,17.44108658,5,干扰984,2,0,39.48,6.441086577,0
信号1,6,2000,40,17.44108658,5,干扰985,2,0,39.48,5.941086577,0
信号1,6,2000,40,17.44108658,5,干扰986,2,0,39.48,5.441086577,0
信号1,6,2000,40,17.44108658,5,干扰987,2,0,39.48,4.941086577,0
信号1,6,2000,40,17.44108658,5,干扰988,2,0,39.48,4.441086577,0
信号1,6,2000,40,17.44108658,5,干扰989,2,0,39.48,3.941086577,0
信号1,6,2000,40,17.44108658,5,干扰990,2,0,39.48,3.441086577,0
